ID,species,Longitude,Latitude,year,month
173,TriticumAestivum,3.0437,42.75646,2005,5
174,TriticumAestivum,18.40091,59.32267,1982,2
175,TriticumAestivum,0.849428,48.990586,1994,8
176,TriticumAestivum,0.371206,51.322469,2007,4
177,TriticumAestivum,0.915404,46.854693,2012,9
178,TriticumAestivum,13.418264,54.682545,2010,2
179,TriticumAestivum,7.863837,51.388564,1985,11
180,TriticumAestivum,6.09509,45.51179,1998,1
181,TriticumAestivum,0.644041,44.319465,1986,11
182,TriticumAestivum,8.543745,52.071316,1981,10
183,TriticumAestivum,6.830258,46.942854,1991,10
184,TriticumAestivum,5.06498,46.30239,1991,9
185,TriticumAestivum,8.665643,50.515723,2014,7
186,TriticumAestivum,7.539272,47.219322,2003,7
187,TriticumAestivum,-1.206533,54.492915,2015,3
188,TriticumAestivum,15.04492,50.05458,2018,8
189,TriticumAestivum,11.371935,48.931817,2002,6
190,TriticumAestivum,-2.328247,47.76735,1998,12
191,TriticumAestivum,7.73104,52.22995,1999,8
192,TriticumAestivum,6.954028,51.033208,2019,5
193,TriticumAestivum,44.126678,49.107214,2010,1
194,TriticumAestivum,5.671389,51.263333,2013,6
195,TriticumAestivum,2.975482,50.500105,1991,5
196,TriticumAestivum,18.34319,57.25059,2010,7
197,TriticumAestivum,9.13057,48.968075,2009,12
198,TriticumAestivum,7.214791,47.240402,2007,11
199,TriticumAestivum,7.303248,51.81182,1982,2
200,TriticumAestivum,16.006138,48.319073,2019,5
201,TriticumAestivum,-0.124539,51.885427,1980,5
202,TriticumAestivum,-1.570663,52.432337,2016,11
203,TriticumAestivum,4.63575,50.536194,2016,9
204,TriticumAestivum,13.344656,54.657379,2011,6
205,TriticumAestivum,5.07916,51.1341,2013,5
206,TriticumAestivum,0.20187,48.56535,1986,3
207,TriticumAestivum,38.78333333,37.5,1985,7
208,TriticumAestivum,40.15503,54.066977,2018,11
209,TriticumAestivum,16.52984,49.02264,1989,1
210,TriticumAestivum,5.838131,51.994426,2009,2
211,TriticumAestivum,6.722944,49.77272,2000,2
212,TriticumAestivum,0.565153,49.831386,1989,5
213,TriticumAestivum,1.0544,41.135755,2012,3
214,TriticumAestivum,7.809444,51.588056,1999,11
215,TriticumAestivum,17.836432,46.40066,1991,8
216,TriticumAestivum,8.748583,50.668582,2018,8
217,TriticumAestivum,11.1812,52066,1992,4
218,TriticumAestivum,-2.794423,41.167101,1999,5
219,TriticumAestivum,5.8,53.15,1991,9
220,TriticumAestivum,9.113029,52.580292,2000,6
221,TriticumAestivum,10.42525,52.30481,2010,2
222,TriticumAestivum,9.548817,48.77719,1997,7
223,TriticumAestivum,4.47155,50.445591,1998,8
224,TriticumAestivum,14.204583,49.96011,1991,6
225,TriticumAestivum,8.978339,48.643933,2017,11
226,TriticumAestivum,7.134733,49.226858,2014,4
227,TriticumAestivum,2.421992,43.272157,2012,11
228,TriticumAestivum,11.58828,52099,1996,10
229,TriticumAestivum,-2.667072,42.877105,2018,12
230,TriticumAestivum,10.2,50.19,1986,4
231,TriticumAestivum,4.173547,50.6803,2020,4
232,TriticumAestivum,-0.995481,42.596085,2015,4
233,TriticumAestivum,8.856426,47.392768,2004,2
234,TriticumAestivum,6.386409,51.10138,2005,5
235,TriticumAestivum,6.37336,52.617401,1982,2
236,TriticumAestivum,-4.21757,50.6258,2002,4
237,TriticumAestivum,8.831729,48.960555,1999,9
238,TriticumAestivum,7.261894,49.731878,2012,4
239,TriticumAestivum,8.456317,48.944942,1988,9
240,TriticumAestivum,11.430085,48.714291,2005,11
241,TriticumAestivum,22.300315,60.467445,2013,2
242,TriticumAestivum,5.072084,50.39948,2008,7
243,TriticumAestivum,12.193623,52.402752,2020,2
244,TriticumAestivum,13.432881,51.386175,2018,1
245,TriticumAestivum,8.816427,48.860834,2004,6
246,TriticumAestivum,12.73,48.09,2007,1
247,TriticumAestivum,9.961453,54.64701,2016,11
248,TriticumAestivum,7.011111,50.8475,2003,3
249,TriticumAestivum,14.378538,50.025702,1996,5
250,TriticumAestivum,-1.47085,52.288892,2004,7
251,TriticumAestivum,10.112249,48.836089,2017,1
252,TriticumAestivum,7.251605,49.488305,2018,5
253,TriticumAestivum,7.935631,48.320517,1988,3
254,TriticumAestivum,-2.180785,52.76189,1985,3
255,TriticumAestivum,1.959903,49.474379,1985,12
256,TriticumAestivum,9.20924,48.71121,2019,4
257,TriticumAestivum,9.323907,47.75262,1993,10
258,TriticumAestivum,8.074444,50.417222,1992,4
259,TriticumAestivum,3.522116,50.514434,1994,8
260,TriticumAestivum,6.85,52.65,1981,10
261,TriticumAestivum,9.370018,51.148424,1991,7
262,TriticumAestivum,-2.118583,52.495268,2018,2
263,TriticumAestivum,3.23286,51.1788,2009,11
264,TriticumAestivum,8.23029,47.277546,2006,12
265,TriticumAestivum,7.171618,49.495107,2003,10
266,TriticumAestivum,25.126492,60.250508,2011,10
267,TriticumAestivum,6.371085,51.434999,1989,9
268,TriticumAestivum,10.07,50.21,2020,11
269,TriticumAestivum,7.630763,50.081489,2004,6
270,TriticumAestivum,17.8115,49.238856,1985,9
271,TriticumAestivum,4.863333,46.051944,1986,1
272,TriticumAestivum,1.59338,43.43336,2015,4
273,TriticumAestivum,-3.294584,51.042529,1992,9
274,TriticumAestivum,-1.072986,51.068937,1993,3
275,TriticumAestivum,8.336537,50.075232,2013,1
276,TriticumAestivum,17.898005,48.294467,1999,10
277,TriticumAestivum,0.066094,47.218282,2005,9
278,TriticumAestivum,2.70903,48.602148,2016,6
279,TriticumAestivum,-3.810001,43.48251,1995,8
280,TriticumAestivum,9.386859,55.487805,2010,1
281,TriticumAestivum,6.008567,47.588243,1991,11
282,TriticumAestivum,5.31289,45.598184,1984,8
283,TriticumAestivum,15.820965,48.607569,2017,1
284,TriticumAestivum,11.095287,49.360935,2014,5
285,TriticumAestivum,9.119167,48.696667,2013,12
286,TriticumAestivum,9.303902,45.440981,1989,9
287,TriticumAestivum,-0.725821,51.698349,1988,2
288,TriticumAestivum,2.034153,49.462427,1990,10
289,TriticumAestivum,9.409823,45.614483,2020,10
290,TriticumAestivum,3.707349,50.811651,2014,3
291,TriticumAestivum,17.44433,59.667297,1981,3
292,TriticumAestivum,11.04489,49.304378,2008,1
293,TriticumAestivum,9.65599,50.65681,1983,10
294,TriticumAestivum,38.917924,53.57554,1995,7
295,TriticumAestivum,9.779575,49.848926,1993,4
296,TriticumAestivum,14.357991,50.163742,1992,10
297,TriticumAestivum,8.503333,47.229722,2016,4
298,TriticumAestivum,17.431385,49.476942,2012,9
299,TriticumAestivum,8.191852,49.898556,1991,5
300,TriticumAestivum,6.701983,51.341721,2001,5
301,TriticumAestivum,17.54174,49.28258,2004,12
302,TriticumAestivum,3.44224,48.4781,2014,7
303,TriticumAestivum,9.727649,48.356436,1986,3
304,TriticumAestivum,2.913445,51.11564,1988,10
305,TriticumAestivum,6.935824,46.990833,2003,9
306,TriticumAestivum,3.270421,50.27411,1999,5
307,TriticumAestivum,3.937421,51.725518,2011,12
308,TriticumAestivum,16.38596,46.61192,2005,9
309,TriticumAestivum,3.518333,50.32607,2019,2
310,TriticumAestivum,7.510303,47.203295,1995,6
311,TriticumAestivum,7.294442,50.762939,1996,11
312,TriticumAestivum,7.482803,46.944302,1994,8
313,TriticumAestivum,4.310162,50.216331,1984,4
314,TriticumAestivum,6.144444,48.248611,1980,4
315,TriticumAestivum,9.394155,51.359063,2000,1
316,TriticumAestivum,1.08851,46.64887,1996,2
317,TriticumAestivum,33.869893,53.713481,1991,12
318,TriticumAestivum,0.497187,50.874122,1997,9
319,TriticumAestivum,0.505357,49.802372,2020,2
320,TriticumAestivum,38.841078,56.180976,1995,7
321,TriticumAestivum,16.41561,59.54323,2012,6
322,TriticumAestivum,8.09622,49.945171,2005,6
323,TriticumAestivum,14.446723,48.104829,1982,6
324,TriticumAestivum,9.221129,45.310614,1993,8
325,TriticumAestivum,8.603388,50.187965,1990,1
326,TriticumAestivum,15.346266,50.971246,2000,5
327,TriticumAestivum,8.768611,47.686944,1991,6
328,TriticumAestivum,8.97372,50.720453,2000,10
329,TriticumAestivum,8.238265,47.42169,2016,12
330,TriticumAestivum,8.278217,49.943079,2001,8
331,TriticumAestivum,2.012668,50.53622,2009,4
332,TriticumAestivum,11.735881,48.312811,1983,7
333,TriticumAestivum,8.70982,49.74534,1990,12
334,TriticumAestivum,3.835203,51.456111,2012,3
335,TriticumAestivum,12.94992,50.993684,1992,6
336,TriticumAestivum,11.57737,48.013357,2003,7
337,TriticumAestivum,12.569722,48.547222,2003,11
338,TriticumAestivum,7.590108,50.691913,1982,12
339,TriticumAestivum,8.695892,51.704777,1985,5
340,TriticumAestivum,0.710668,51.836275,1999,3
341,TriticumAestivum,6.546546,51.165829,1993,12
342,TriticumAestivum,9.976698,54.754224,2009,3
343,TriticumAestivum,2.60808,49.63715,1999,8
344,TriticumAestivum,5.15574,44.98063,1998,7
345,TriticumAestivum,7.598478,51.805435,1982,3
346,TriticumAestivum,9.62,49.92,1993,5
347,TriticumAestivum,11.494652,47.281069,1988,10
348,TriticumAestivum,1.899424,48.17658,1988,2
349,TriticumAestivum,16.23939,49.76084,2017,2
350,TriticumAestivum,5.934822,43.1643,2002,8
351,TriticumAestivum,16.173858,50.327725,1984,7
352,TriticumAestivum,10.000967,51.540808,2020,2
353,TriticumAestivum,15.956978,46.996617,2000,5
354,TriticumAestivum,13.06114,55.3851,1996,3
355,TriticumAestivum,5.349444,46.4225,2005,3
356,TriticumAestivum,6.4544,52.289799,2020,1
357,TriticumAestivum,9.853699,52.058504,1991,8
358,TriticumAestivum,7.223877,47.52792,2009,7
359,TriticumAestivum,16.58054,56.80971,2004,1
360,TriticumAestivum,6.788245,51.356033,2015,3
361,TriticumAestivum,11.701754,47.8684,2016,1
362,TriticumAestivum,8.614522,52.26113,1991,9
363,TriticumAestivum,-1.184009,52.692123,2004,9
364,TriticumAestivum,11.361389,58.686944,1992,9
365,TriticumAestivum,4.547272,50.6668,2011,11
366,TriticumAestivum,8.631096,52.43558,2014,9
367,TriticumAestivum,8.387154,49.886214,2005,6
368,TriticumAestivum,7.093023,52.137501,2012,12
369,TriticumAestivum,3.141855,45.923478,1991,3
370,TriticumAestivum,11.57,48.09,1995,1
371,TriticumAestivum,-4.275511,42.724143,1997,5
372,TriticumAestivum,10.078762,54.380749,2008,6
373,TriticumAestivum,11.403963,55.594477,1984,10
374,TriticumAestivum,8.139899,51.591441,1999,5
375,TriticumAestivum,11.101554,48.114938,1980,6
376,TriticumAestivum,0.573304,44.64642,2007,4
377,TriticumAestivum,13.991694,50.994803,2010,12
378,TriticumAestivum,11.672947,48.503034,2007,8
379,TriticumAestivum,8.355067,49.712864,2002,8
380,TriticumAestivum,6.080833,46.160656,1999,11
381,TriticumAestivum,2.58739,51.07703,1994,3
382,TriticumAestivum,15.058414,57.894461,1985,5
383,TriticumAestivum,5.791931,50.76974,1998,1
384,TriticumAestivum,-1.056548,48.861681,1996,3
385,TriticumAestivum,1.83523,48.882476,1995,6
386,TriticumAestivum,1.315055,51.98568,2012,12
387,TriticumAestivum,-3.874223,50.731122,1983,6
388,TriticumAestivum,-3.825922,57.577878,2004,9
389,TriticumAestivum,10.114348,49.676766,1989,10
390,TriticumAestivum,6.871025,51.244359,1982,11
391,TriticumAestivum,15.365433,50.548331,2013,12
392,TriticumAestivum,7.945241,48.495327,2014,2
393,TriticumAestivum,12.404451,49.360229,1981,3
394,TriticumAestivum,3.23172,51.33611,1984,8
395,TriticumAestivum,13.61543,50.770492,2018,7
396,TriticumAestivum,7.418511,47.017785,1981,3
397,TriticumAestivum,7.51946,50.767831,2010,6
398,TriticumAestivum,43.1167,40.6667,2017,1
399,TriticumAestivum,0.282356,49.734451,1981,11
400,TriticumAestivum,12.78736,49.23245,1982,5
401,TriticumAestivum,11.431433,49.67499,1990,12
402,TriticumAestivum,0.44577,51.736661,2007,9
403,TriticumAestivum,9.467587,51.496209,2013,5
404,TriticumAestivum,9.19568,52.19518,1981,10
405,TriticumAestivum,-2.80291,53.332901,2006,5
406,TriticumAestivum,8.014804,52.236336,1983,10
407,TriticumAestivum,5.159295,45.539268,2000,6
408,TriticumAestivum,6.260025,48.702565,2008,12
409,TriticumAestivum,7.771468,47.46683,2012,6
410,TriticumAestivum,3.00976,45.08481,1985,7
411,TriticumAestivum,6.782698,48.66282,1996,1
412,TriticumAestivum,8.832222,51.1325,1982,12
413,TriticumAestivum,8.643889,47.321111,1998,6
414,TriticumAestivum,2.270595,49.124878,2015,3
415,TriticumAestivum,10.305273,52.128079,2006,6
416,TriticumAestivum,-0.37888,52.09065,2015,1
417,TriticumAestivum,-3.578842,50.680503,2018,2
418,TriticumAestivum,-1.919659,48.072063,1982,2
419,TriticumAestivum,5.138211,50.603999,1986,1
420,TriticumAestivum,25.956972,59.038449,2015,12
421,TriticumAestivum,-1.590473,48.148041,2004,3
422,TriticumAestivum,-1.636111,54.603056,2011,2
423,TriticumAestivum,2.7278,49.21152,1994,4
424,TriticumAestivum,5.241743,50.443985,1987,7
425,TriticumAestivum,-0.315565,46.317004,1984,7
426,TriticumAestivum,3.978848,50.59072,1990,4
427,TriticumAestivum,-0.923173,45.551319,1983,7
428,TriticumAestivum,3.53574,50.77875,2014,9
429,TriticumAestivum,-4.092648,54.986813,2002,10
430,TriticumAestivum,7.375621,46.941391,1992,2
431,TriticumAestivum,10.86196,48.897783,2001,12
432,TriticumAestivum,5.830355,50.77012,2008,9
433,TriticumAestivum,-0.63578,54.231113,2017,4
434,TriticumAestivum,11.657971,52.066455,1998,8
435,TriticumAestivum,40.04805556,40.35638889,2010,11
436,TriticumAestivum,17.438385,49.067719,1987,3
437,TriticumAestivum,5.982933,49.562192,2002,3
438,TriticumAestivum,7.282935,49.807699,1991,4
439,TriticumAestivum,8.833067,47.600087,2011,1
440,TriticumAestivum,8.898555,51.981337,1985,8
441,TriticumAestivum,10.678654,45.419217,2005,2
442,TriticumAestivum,10.16,50.14,2000,8
443,TriticumAestivum,10.62233,45.14202,1990,11
444,TriticumAestivum,9.97,50.21,1989,10
445,TriticumAestivum,2.854609,50.840782,1987,1
446,TriticumAestivum,2.10275,50.00041,1988,5
447,TriticumAestivum,4.0984,45.56624,1996,2
448,TriticumAestivum,9.947431,49.809144,1998,5
449,TriticumAestivum,11.52104,50.89273,1982,2
450,TriticumAestivum,11.1725,51.455833,1981,7
451,TriticumAestivum,8.365442,52.110502,2020,2
452,TriticumAestivum,6.053144,49.855027,1991,2
453,TriticumAestivum,4.848463,50.909044,2002,11
454,TriticumAestivum,10.229218,48.916077,2000,6
455,TriticumAestivum,6.258396,51.671672,1997,3
456,TriticumAestivum,14.731367,50.092536,2017,8
457,TriticumAestivum,2.237321,49.891137,1992,7
458,TriticumAestivum,5.784574,50.77263,2011,7
459,TriticumAestivum,7.140487,50.64455,1994,6
460,TriticumAestivum,17.767519,49.237297,1992,2
461,TriticumAestivum,9.106655,52.26544,1992,7
462,TriticumAestivum,8.011303,49.076495,2013,12
463,TriticumAestivum,21.250446,55.789134,2014,4
464,TriticumAestivum,8.081651,51.581448,2015,6
465,TriticumAestivum,16.328366,49.118486,2002,6
466,TriticumAestivum,8.358375,48.22032,2005,11
467,TriticumAestivum,7.885324,51.658372,2005,2
468,TriticumAestivum,6.104286,51.053387,2006,2
469,TriticumAestivum,19.203141,50.152008,1995,2
470,TriticumAestivum,1.309589,49.41778,1991,10
471,TriticumAestivum,11.620337,48.038836,1987,1
472,TriticumAestivum,15.599667,48.19201,1990,8
473,TriticumAestivum,16.533184,49.228218,1985,8
474,TriticumAestivum,6.945802,51.647605,2004,12
475,TriticumAestivum,8.774262,49.34342,2012,6
476,TriticumAestivum,-3.293134,51.045759,1987,10
477,TriticumAestivum,5.76704,50.851661,2014,10
478,TriticumAestivum,10.641126,47.931157,2006,8
479,TriticumAestivum,11.409593,53.992409,1994,1
480,TriticumAestivum,16.962402,51.028149,2013,1
481,TriticumAestivum,36.794444,50.011111,1998,4
482,TriticumAestivum,6.475278,46.556389,1998,11
483,TriticumAestivum,17.678038,59.898174,1987,1
484,TriticumAestivum,3.237842,45.661799,2002,10
485,TriticumAestivum,7.195129,47.003191,2010,2
486,TriticumAestivum,-1.107523,52.730495,2009,9
487,TriticumAestivum,5.12989,45.68333,2015,8
488,TriticumAestivum,7.784188,51.921802,1999,10
489,TriticumAestivum,12.46295,48.79002,1995,10
490,TriticumAestivum,14.82248,49.50627,1991,3
491,TriticumAestivum,0.276771,49.71337,2013,6
492,TriticumAestivum,6.988142,46.271247,2020,10
493,TriticumAestivum,12.564365,50.695481,1999,8
494,TriticumAestivum,9.503818,47.177257,1997,10
495,TriticumAestivum,-6.526942,53.351428,1986,7
496,TriticumAestivum,16.68222,56.66877,2016,1
497,TriticumAestivum,4.804762,45.860275,1995,5
498,TriticumAestivum,0.182397,48.035469,1999,11
499,TriticumAestivum,6.847763,46.981667,1993,9
500,TriticumAestivum,11.539051,49.541581,1984,6
501,TriticumAestivum,9.723247,54.903061,2020,11
502,TriticumAestivum,8.519572,49.037342,2006,4
503,TriticumAestivum,7.202979,50.7125,1998,11
504,TriticumAestivum,16.191721,49.694885,2016,4
505,TriticumAestivum,-2.692026,53.693365,1986,2
506,TriticumAestivum,7.108115,50.810199,2020,5
507,TriticumAestivum,5.752972,50.932484,2013,2
508,TriticumAestivum,6.971247,49.13617,2009,6
509,TriticumAestivum,30.343678,50.243668,2014,2
510,TriticumAestivum,34.288055,53.267178,1983,9
511,TriticumAestivum,25.49152,56.46817,1984,4
512,TriticumAestivum,9.034504,50.293865,1984,8
513,TriticumAestivum,7.990455,51.843358,2009,2
514,TriticumAestivum,10.040464,57.011427,1985,4
515,TriticumAestivum,7445,48.668056,2005,4
516,TriticumAestivum,13.635316,50.05337,2006,6
517,TriticumAestivum,6.795514,46.568691,1996,11
518,TriticumAestivum,7.444498,48.47313,1982,10
519,TriticumAestivum,13.68298,48.34217,2006,9
520,TriticumAestivum,13.38131,51.0525,1983,5
521,TriticumAestivum,39.88333333,38.28333333,2007,12
522,TriticumAestivum,2.202712,41.551624,1987,9
523,TriticumAestivum,8.83942,52.219553,2018,7
524,TriticumAestivum,9.118696,48.950812,2006,5
525,TriticumAestivum,0.27546,46.48745,1981,10
526,TriticumAestivum,5.618942,50.74838,1989,6
527,TriticumAestivum,11.835565,48.102005,1980,4
528,TriticumAestivum,-0.858553,52.139122,2015,9
529,TriticumAestivum,8.162733,47.623124,2012,7
530,TriticumAestivum,16.50554,58.53514,2013,6
531,TriticumAestivum,5.144002,49.01778,2003,7
532,TriticumAestivum,40.383649,51.118753,1994,8
533,TriticumAestivum,7.589195,47.522317,2003,9
534,TriticumAestivum,0.24429,49.676792,2019,3
535,TriticumAestivum,-1.723619,42.328192,1998,6
536,TriticumAestivum,1.467182,46.643566,2012,6
